scenario,level,file_path,original_syntax_valid,original_error,fixed_syntax_valid,fixed_error,solvable,solve_time,plan_length,fixes_applied,processing_time
scenario_0001,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/strategic.pddl,True,,True,,True,0.7182905673980713,3,0,0.724931001663208
scenario_0001,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/tactical.pddl,True,,True,,True,0.6239211559295654,3,0,0.6255149841308594
scenario_0001,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/technical.pddl,True,,True,,True,0.7577118873596191,3,0,0.7594585418701172
scenario_0002,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/strategic.pddl,True,,True,,True,0.8064882755279541,3,0,0.8080599308013916
scenario_0002,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/tactical.pddl,True,,True,,True,0.6363773345947266,3,0,0.6378614902496338
scenario_0002,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/technical.pddl,True,,True,,True,0.7242233753204346,3,0,0.7286128997802734
scenario_0003,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/strategic.pddl,True,,True,,True,0.6861486434936523,3,0,0.6876015663146973
scenario_0003,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/tactical.pddl,True,,True,,True,0.769580602645874,3,0,0.7711296081542969
scenario_0003,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/technical.pddl,True,,True,,True,0.6579596996307373,3,0,0.6594138145446777
scenario_0004,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/strategic.pddl,True,,True,,True,0.6556684970855713,3,0,0.659862756729126
scenario_0004,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/tactical.pddl,True,,True,,True,0.7036011219024658,3,0,0.7051618099212646
scenario_0004,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/technical.pddl,True,,True,,True,0.6313929557800293,3,0,0.6339683532714844
scenario_0005,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/strategic.pddl,True,,True,,True,0.6409006118774414,3,0,0.6426846981048584
scenario_0005,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/tactical.pddl,True,,True,,True,0.7192134857177734,3,0,0.720738410949707
scenario_0005,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/technical.pddl,True,,True,,True,0.6822028160095215,3,0,0.686842679977417
scenario_0006,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/strategic.pddl,True,,True,,True,0.7300765514373779,3,0,0.7318007946014404
scenario_0006,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/tactical.pddl,True,,True,,True,0.6780698299407959,3,0,0.6817092895507812
scenario_0006,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/technical.pddl,True,,True,,True,0.6513197422027588,3,0,0.65293288230896
scenario_0007,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/strategic.pddl,True,,True,,True,0.6343362331390381,3,0,0.6360745429992676
scenario_0007,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/tactical.pddl,True,,True,,True,0.6784265041351318,3,0,0.6804664134979248
scenario_0007,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/technical.pddl,True,,True,,True,0.6321322917938232,3,0,0.6338088512420654
scenario_0008,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/strategic.pddl,True,,True,,True,0.7287049293518066,3,0,0.7307019233703613
scenario_0008,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/tactical.pddl,True,,True,,True,0.7607700824737549,3,0,0.7640910148620605
scenario_0008,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/technical.pddl,True,,True,,True,0.6831679344177246,3,0,0.6847140789031982
scenario_0009,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/strategic.pddl,True,,True,,True,0.6530959606170654,3,0,0.6549007892608643
scenario_0009,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/tactical.pddl,True,,True,,True,0.6569392681121826,3,0,0.658635139465332
scenario_0009,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/technical.pddl,True,,True,,True,0.7502009868621826,3,0,0.7541518211364746
scenario_0010,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/strategic.pddl,True,,True,,True,0.6267240047454834,3,0,0.62831711769104
scenario_0010,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/tactical.pddl,True,,True,,True,0.6502969264984131,3,0,0.6517159938812256
scenario_0010,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/technical.pddl,True,,True,,True,0.631371259689331,3,0,0.6328542232513428
scenario_0011,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0011/strategic.pddl,True,,True,,True,0.6564040184020996,3,0,0.6589260101318359
scenario_0011,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0011/tactical.pddl,True,,True,,True,0.7582628726959229,3,0,0.7606945037841797
scenario_0011,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0011/technical.pddl,True,,True,,True,0.7476894855499268,3,0,0.7492191791534424
scenario_0012,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0012/strategic.pddl,True,,True,,True,0.6484203338623047,3,0,0.650428056716919
scenario_0012,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0012/tactical.pddl,True,,True,,True,0.6886584758758545,3,0,0.6919670104980469
scenario_0012,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0012/technical.pddl,True,,True,,True,0.6854960918426514,3,0,0.6869926452636719
scenario_0013,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0013/strategic.pddl,True,,True,,True,0.7472224235534668,3,0,0.7491953372955322
scenario_0013,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0013/tactical.pddl,True,,True,,True,0.6901397705078125,3,0,0.6934034824371338
scenario_0013,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0013/technical.pddl,True,,True,,True,0.6829595565795898,3,0,0.6844484806060791
scenario_0014,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0014/strategic.pddl,True,,True,,True,0.7060520648956299,3,0,0.707568883895874
scenario_0014,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0014/tactical.pddl,True,,True,,True,0.8101546764373779,3,0,0.8117148876190186
scenario_0014,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0014/technical.pddl,True,,True,,True,0.6612462997436523,3,0,0.6716897487640381
scenario_0015,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0015/strategic.pddl,True,,True,,True,0.6525092124938965,3,0,0.6543524265289307
scenario_0015,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0015/tactical.pddl,True,,True,,True,0.6901564598083496,3,0,0.6921603679656982
scenario_0015,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0015/technical.pddl,True,,True,,True,0.6414499282836914,3,0,0.6440279483795166
scenario_0016,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0016/strategic.pddl,True,,True,,True,0.8076257705688477,3,0,0.8091771602630615
scenario_0016,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0016/tactical.pddl,True,,True,,True,0.6703884601593018,3,0,0.6718909740447998
scenario_0016,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0016/technical.pddl,True,,True,,True,0.6390647888183594,3,0,0.6411838531494141
scenario_0017,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0017/strategic.pddl,True,,True,,True,0.7198445796966553,3,0,0.7213938236236572
scenario_0017,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0017/tactical.pddl,True,,True,,True,0.715538501739502,3,0,0.717228889465332
scenario_0017,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0017/technical.pddl,True,,True,,True,0.7145431041717529,3,0,0.7160158157348633
scenario_0018,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0018/strategic.pddl,True,,True,,True,0.7190241813659668,3,0,0.7213211059570312
scenario_0018,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0018/tactical.pddl,True,,True,,True,0.7089715003967285,3,0,0.7109203338623047
scenario_0018,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0018/technical.pddl,True,,True,,True,0.6868362426757812,3,0,0.6890325546264648
scenario_0019,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0019/strategic.pddl,True,,True,,True,0.6897320747375488,3,0,0.6913220882415771
scenario_0019,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0019/tactical.pddl,True,,True,,True,0.6894698143005371,3,0,0.6910879611968994
scenario_0019,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0019/technical.pddl,True,,True,,True,0.6961667537689209,3,0,0.6981601715087891
scenario_0020,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0020/strategic.pddl,True,,True,,True,0.7588505744934082,3,0,0.7609169483184814
scenario_0020,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0020/tactical.pddl,True,,True,,True,0.6911475658416748,3,0,0.695723295211792
scenario_0020,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0020/technical.pddl,True,,True,,True,0.7670013904571533,3,0,0.7685263156890869
scenario_0021,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0021/strategic.pddl,True,,True,,True,0.664121150970459,3,0,0.6656036376953125
scenario_0021,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0021/tactical.pddl,True,,True,,True,0.6958956718444824,3,0,0.6976213455200195
scenario_0021,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0021/technical.pddl,True,,True,,True,0.6574928760528564,3,0,0.6589033603668213
scenario_0022,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0022/strategic.pddl,True,,True,,True,0.7112636566162109,3,0,0.7138564586639404
scenario_0022,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0022/tactical.pddl,True,,True,,True,0.7135138511657715,3,0,0.7153468132019043
scenario_0022,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0022/technical.pddl,True,,True,,True,0.7537844181060791,3,0,0.7554528713226318
scenario_0023,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0023/strategic.pddl,True,,True,,True,0.7146992683410645,3,0,0.7173018455505371
scenario_0023,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0023/tactical.pddl,True,,True,,True,0.6989233493804932,3,0,0.7005786895751953
scenario_0023,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0023/technical.pddl,True,,True,,True,0.7210960388183594,3,0,0.7226452827453613
scenario_0024,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0024/strategic.pddl,True,,True,,True,0.7566938400268555,3,0,0.7581987380981445
scenario_0024,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0024/tactical.pddl,True,,True,,True,0.6326520442962646,3,0,0.6386129856109619
scenario_0024,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0024/technical.pddl,True,,True,,True,0.662693977355957,3,0,0.6641659736633301
scenario_0025,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0025/strategic.pddl,True,,True,,True,0.6608588695526123,3,0,0.6623561382293701
scenario_0025,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0025/tactical.pddl,True,,True,,True,0.7164568901062012,3,0,0.7181992530822754
scenario_0025,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0025/technical.pddl,True,,True,,True,0.7313923835754395,3,0,0.7329444885253906
scenario_0026,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0026/strategic.pddl,True,,True,,True,0.6898322105407715,3,0,0.6913740634918213
scenario_0026,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0026/tactical.pddl,True,,True,,True,0.6163136959075928,3,0,0.6177988052368164
scenario_0026,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0026/technical.pddl,True,,True,,True,0.6795058250427246,3,0,0.6810288429260254
scenario_0027,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0027/strategic.pddl,True,,True,,True,0.6942520141601562,3,0,0.6958067417144775
scenario_0027,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0027/tactical.pddl,True,,True,,True,0.6599757671356201,3,0,0.6617588996887207
scenario_0027,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0027/technical.pddl,True,,True,,True,0.7085840702056885,3,0,0.7124848365783691
scenario_0028,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0028/strategic.pddl,True,,True,,True,0.6752469539642334,3,0,0.6772708892822266
scenario_0028,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0028/tactical.pddl,True,,True,,True,0.6697332859039307,3,0,0.6712110042572021
scenario_0028,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0028/technical.pddl,True,,True,,True,0.786013126373291,3,0,0.7875247001647949
scenario_0029,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0029/strategic.pddl,True,,True,,False,0.630302906036377,0,0,0.6317718029022217
scenario_0029,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0029/tactical.pddl,True,,True,,True,0.6631383895874023,3,0,0.6653854846954346
scenario_0029,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0029/technical.pddl,True,,True,,True,0.6475644111633301,3,0,0.6490154266357422
scenario_0030,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0030/strategic.pddl,True,,True,,True,0.6841990947723389,3,0,0.6859815120697021
scenario_0030,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0030/tactical.pddl,True,,True,,True,0.7096247673034668,3,0,0.7113943099975586
scenario_0030,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0030/technical.pddl,True,,True,,True,0.6737403869628906,3,0,0.6761341094970703
scenario_0031,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0031/strategic.pddl,True,,True,,True,0.7390868663787842,3,0,0.7405369281768799
scenario_0031,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0031/tactical.pddl,True,,True,,True,0.6689434051513672,3,0,0.6735258102416992
scenario_0031,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0031/technical.pddl,True,,True,,True,0.7251207828521729,3,0,0.7266349792480469
scenario_0032,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0032/strategic.pddl,True,,True,,True,0.6780409812927246,3,0,0.6801025867462158
scenario_0032,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0032/tactical.pddl,True,,True,,True,0.6427731513977051,3,0,0.6443376541137695
scenario_0032,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0032/technical.pddl,True,,True,,True,0.6969475746154785,3,0,0.6984772682189941
scenario_0033,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0033/strategic.pddl,True,,True,,True,0.7021117210388184,3,0,0.705009937286377
scenario_0033,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0033/tactical.pddl,True,,True,,True,0.714566707611084,3,0,0.7164995670318604
scenario_0033,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0033/technical.pddl,True,,True,,True,0.6761291027069092,3,0,0.6800177097320557
